sale_id,cust_id,merchant_id,date,total_price
83,4,3,2023-04-30,75
84,6,5,2023-05-01,85
85,4,6,2023-05-02,33
86,6,9,2023-05-03,76
87,9,8,2023-05-04,20
88,1,6,2023-05-05,14
89,6,2,2023-05-06,23
90,3,6,2023-05-07,31
91,6,9,2023-05-08,92
92,7,4,2023-05-09,91
93,2,5,2023-05-10,93
94,5,6,2023-05-11,38
95,1,1,2023-05-12,32
96,4,1,2023-05-13,32
97,10,1,2023-05-14,80
98,7,1,2023-05-15,51
99,6,10,2023-05-16,15
100,4,2,2023-05-17,97
101,6,6,2023-05-18,25
102,10,3,2023-05-19,72
103,9,2,2023-05-20,14
104,1,5,2023-05-21,65
105,2,5,2023-05-22,102
106,1,3,2023-05-23,65
107,2,2,2023-05-24,30
108,1,7,2023-05-25,18
109,9,2,2023-05-26,100
110,1,2,2023-05-27,35
111,4,10,2023-05-28,98
112,6,8,2023-05-29,69
113,8,8,2023-05-30,78
114,4,7,2023-05-31,48
115,2,9,2023-06-01,61
116,6,8,2023-06-02,63
117,6,7,2023-06-03,63
118,9,9,2023-06-04,48
119,5,5,2023-06-05,107
120,10,9,2023-06-06,67
121,10,1,2023-06-07,72
122,8,8,2023-06-08,38
123,9,2,2023-06-09,88
124,3,2,2023-06-10,36
125,4,9,2023-06-11,36
126,7,10,2023-06-12,62
127,6,3,2023-06-13,99
128,2,1,2023-06-14,17
129,9,3,2023-06-15,61
130,8,9,2023-06-16,10
131,2,6,2023-06-17,10
132,9,2,2023-06-18,20
133,6,2,2023-06-19,40
134,3,5,2023-06-20,70
135,3,2,2023-06-21,25
136,5,1,2023-06-22,92
137,4,5,2023-06-23,37
138,3,6,2023-06-24,57
139,7,7,2023-06-25,37
140,2,5,2023-06-26,59
141,4,2,2023-06-27,28
142,5,5,2023-06-28,63
143,6,9,2023-06-29,33
144,7,9,2023-06-30,92
145,9,4,2023-07-01,26
146,4,4,2023-07-02,59
147,2,5,2023-07-03,48
148,6,6,2023-07-04,20
149,3,3,2023-07-05,96
150,1,8,2023-07-06,66
151,5,8,2023-07-07,74
152,7,1,2023-07-08,50
153,5,5,2023-07-09,105
154,6,3,2023-07-10,89
155,9,8,2023-07-11,16
156,5,7,2023-07-12,78
157,9,3,2023-07-13,106
158,7,3,2023-07-14,94
159,2,2,2023-07-15,48
160,7,2,2023-07-16,28
161,10,8,2023-07-17,103
162,6,3,2023-07-18,51
163,1,8,2023-07-19,39
164,4,2,2023-07-20,22
165,4,5,2023-07-21,100
166,6,8,2023-07-22,104
167,8,5,2023-07-23,68
168,3,1,2023-07-24,106
169,2,8,2023-07-25,56
170,6,7,2023-07-26,42
171,4,6,2023-07-27,84
172,10,2,2023-07-28,89
173,4,6,2023-07-29,58
174,1,1,2023-07-30,26
175,1,2,2023-07-31,44
176,10,1,2023-08-01,30
177,1,6,2023-08-02,12
178,2,9,2023-08-03,82
179,4,4,2023-08-04,75
180,8,9,2023-08-05,50
181,9,3,2023-08-06,64
182,6,4,2023-08-07,63
183,10,5,2023-08-08,48
184,9,9,2023-08-09,72
185,9,1,2023-08-10,18
186,7,6,2023-08-11,44
187,3,3,2023-08-12,70
188,7,6,2023-08-13,14
189,9,1,2023-08-14,60
190,6,2,2023-08-15,58
191,7,6,2023-08-16,50
192,8,9,2023-08-17,106
193,6,5,2023-08-18,44
194,6,4,2023-08-19,99
195,2,9,2023-08-20,39
196,4,9,2023-08-21,27
197,3,4,2023-08-22,91
198,5,9,2023-08-23,107
199,4,10,2023-08-24,100
200,5,1,2023-08-25,108
201,9,10,2023-08-26,100
202,6,5,2023-08-27,30
203,7,3,2023-08-28,60
204,8,7,2023-08-29,79
205,8,5,2023-08-30,97
206,8,6,2023-08-31,109
207,4,5,2023-09-01,69
208,2,6,2023-09-02,94
209,9,9,2023-09-03,45
210,9,7,2023-09-04,46
211,3,4,2023-09-05,49
212,8,10,2023-09-06,94
213,10,1,2023-09-07,44
214,2,10,2023-09-08,10
215,4,3,2023-09-09,14
216,1,8,2023-09-10,11
217,1,2,2023-09-11,67
218,1,1,2023-09-12,10
219,10,1,2023-09-13,15
220,5,2,2023-09-14,17
221,8,10,2023-09-15,25
222,7,3,2023-09-16,63
223,5,6,2023-09-17,34
224,7,6,2023-09-18,107
225,9,8,2023-09-19,33
226,8,3,2023-09-20,38
227,5,3,2023-09-21,40
228,9,1,2023-09-22,71
229,5,3,2023-09-23,46
230,2,5,2023-09-24,29
231,3,2,2023-09-25,29
232,5,8,2023-09-26,12
233,5,8,2023-09-27,56
234,9,1,2023-09-28,16
235,10,8,2023-09-29,55
236,6,8,2023-09-30,28
237,6,6,2023-10-01,69
238,1,7,2023-10-02,72
239,6,7,2023-10-03,82
240,2,2,2023-10-04,59
241,3,1,2023-10-05,42
242,4,4,2023-10-06,92
243,9,2,2023-10-07,15
244,6,2,2023-10-08,15
245,2,4,2023-10-09,28
246,7,7,2023-10-10,89
247,10,7,2023-10-11,87
248,8,4,2023-10-12,54
249,7,7,2023-10-13,90
250,3,10,2023-10-14,62
251,10,9,2023-10-15,27
252,9,2,2023-10-16,63
253,6,6,2023-10-17,21
254,6,10,2023-10-18,59
255,4,8,2023-10-19,43
256,8,1,2023-10-20,85
257,10,9,2023-10-21,99
258,9,10,2023-10-22,93
259,4,2,2023-10-23,23
260,1,10,2023-10-24,76
261,4,10,2023-10-25,58
262,5,1,2023-10-26,78
263,3,3,2023-10-27,59
264,8,9,2023-10-28,107
265,6,9,2023-10-29,90
266,8,3,2023-10-30,79
267,3,7,2023-10-31,74
268,8,7,2023-11-01,83
269,5,7,2023-11-02,26
270,4,6,2023-11-03,57
271,5,9,2023-11-04,62
272,10,3,2023-11-05,101
273,7,3,2023-11-06,106
274,2,6,2023-11-07,54
275,5,1,2023-11-08,15
276,8,4,2023-11-09,75
277,10,8,2023-11-10,46
278,1,10,2023-11-11,56
279,5,5,2023-11-12,76
280,4,3,2023-11-13,20
281,3,9,2023-11-14,87
282,3,10,2023-11-15,38
283,6,6,2023-11-16,45
284,3,3,2023-11-17,21
285,3,5,2023-11-18,34
286,6,1,2023-11-19,27
287,3,2,2023-11-20,107
288,4,9,2023-11-21,86
289,10,5,2023-11-22,16
290,3,3,2023-11-23,101
291,5,7,2023-11-24,51
292,7,5,2023-11-25,27
293,8,1,2023-11-26,89
294,2,3,2023-11-27,42
295,3,1,2023-11-28,32
296,8,7,2023-11-29,104
297,9,9,2023-11-30,25
298,6,5,2023-12-01,75
299,2,2,2023-12-02,45
300,1,3,2023-12-03,83
301,8,1,2023-12-04,89
302,9,3,2023-12-05,13
303,6,4,2023-12-06,96
304,6,2,2023-12-07,12
305,9,1,2023-12-08,49
306,4,7,2023-12-09,33
307,9,4,2023-12-10,22
308,8,3,2023-12-11,45
309,2,7,2023-12-12,89
310,6,6,2023-12-13,49
311,2,9,2023-12-14,106
312,8,9,2023-12-15,106
313,9,1,2023-12-16,25
314,6,2,2023-12-17,82
315,1,7,2023-12-18,36
316,9,2,2023-12-19,37
317,3,9,2023-12-20,58
318,9,9,2023-12-21,50
319,10,5,2023-12-22,80
320,2,7,2023-12-23,89
321,1,5,2023-12-24,79
322,3,8,2023-12-25,27
323,4,6,2023-12-26,63
324,3,7,2023-12-27,68
325,4,10,2023-12-28,48
326,4,6,2023-12-29,25
327,4,9,2023-12-30,45
328,1,10,2023-12-31,59
